Nome Original,Nome Traduzido
"Beef, T-bone steak, untrimmed, raw","Carne bovina, bife T-bone, sem desengordurar, cru  "
"Beef, T-bone steak, untrimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne bovina, bife T-bone, sem desengordurar, assado, torrado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Beef, T-bone steak, untrimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne bovina, bife T-bone, sem desengordurar, assado, torrado, frito, grelhado ou na churrasqueira, gordura não definida"
"Beef, topside or silverside, separable fat, raw","Carne bovina, parte superior ou parte inferior, gordura separável, crua  "
"Beef, topside roast, separable lean, raw","Carne bovina, assado da parte superior, carne magra separável, crua  "
"Beef, topside roast, separable lean, baked or roasted, no added fat","Carne bovina, assado da parte superior, carne magra separável, assada ou assada, sem gordura adicionada  "
"Beef, topside roast, fully-trimmed, raw","Carne bovina, assado da parte superior, totalmente aparado, cru  "
"Beef, topside roast, fully-trimmed, baked or roasted, no added fat","Carne bovina, assado da parte superior, totalmente aparado, assado ou assado, sem gordura adicionada"
"Beef, topside roast, fully-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, no added fat","Carne bovina, assado de coxão, totalmente limpo, cozido, ensopado, no micro-ondas, escalfado, cozido no vapor ou guisado, sem gordura adicionada  "
"Beef, topside roast, semi-trimmed, raw","Carne bovina, assado de coxão, semi-limpo, cru  "
"Beef, topside roast, semi-trimmed, baked or roasted, no added fat","Carne bovina, assado de coxão, semi-limpo, assado ou grelhado, sem gordura adicionada  "
"Beef, topside roast, untrimmed, raw","Carne bovina, assado de coxão, sem limpeza, cru  "
"Beef, topside roast, untrimmed, baked or roasted, no added fat","Carne bovina, assado de coxão, sem limpeza, assado ou grelhado, sem gordura adicionada"
"Beef, topside roast, untrimmed, breadcrumb coating, baked or roasted, no added fat","Carne bovina, assado de coxão, sem aparar, empanado, assado ou grelhado, sem gordura adicionada  "
"Beef, topside steak, separable lean, raw","Carne bovina, bife de coxão, magro separável, cru  "
"Beef, topside/silverside, separable fat, baked or roasted, no added fat","Carne bovina, coxão/lagarto, gordura separável, assado ou grelhado, sem gordura adicionada  "
"Beef, topside steak, separable lean, baked or roasted, no added fat","Carne bovina, bife de coxão, magro separável, assado ou grelhado, sem gordura adicionada  "
"Beef, topside steak, fully-trimmed, raw","Carne bovina, bife de coxão, totalmente aparado, cru"
"Beef, topside steak, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne bovina, bife de coxão, totalmente desengordurado, assado, grelhado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Beef, topside steak, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne bovina, bife de coxão, totalmente desengordurado, assado, grelhado, frito, grelhado ou na churrasqueira, gordura não definida  "
"Beef, topside steak, fully-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, with or without added fat","Carne bovina, bife de coxão, semi-desengordurado, cru  "
"Beef, topside steak, semi-trimmed, raw","Carne bovina, bife de coxão, semi-desengordurado, assado, grelhado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Beef, topside steak, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne bovina, bife de coxão, totalmente desengordurado, cozido, ensopado, no micro-ondas, escalfado, cozido no vapor ou cozido, com ou sem gordura adicionada"
"Beef, topside steak, untrimmed, raw","Carne bovina, bife de coxão, sem aparar, cru  "
"Beef, topside steak, untrimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne bovina, bife de coxão, sem aparar, assado, grelhado, frito ou na churrasqueira, sem gordura adicionada  "
"Beef, schnitzel, breadcrumb coating, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne bovina, schnitzel, empanado, assado, grelhado, frito ou na churrasqueira, sem gordura adicionada  "
"Beef, schnitzel, breadcrumb coating, baked, roasted, fried, grilled or BBQ'd, canola oil","Carne bovina, schnitzel, empanado, assado, grelhado, frito ou na churrasqueira, óleo de canola  "
"Beef, schnitzel, breadcrumb coating, baked, roasted, fried, grilled or BBQ'd, olive oil","Carne bovina, schnitzel, empanado, assado, grelhado, frito ou na churrasqueira, azeite de oliva"
"Beef, schnitzel, breadcrumb coating, baked, roasted, fried, grilled or BBQ'd, other oil","Carne bovina, schnitzel, cobertura de farinha de rosca, assado, grelhado, frito, grelhado ou na churrasqueira, outro óleo  "
"Beef, schnitzel, breadcrumb coating, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne bovina, schnitzel, cobertura de farinha de rosca, assado, grelhado, frito, grelhado ou na churrasqueira, gordura não definida  "
"Beef, steak, fully-trimmed, raw","Carne bovina, bife, totalmente aparado, cru  "
"Beef, steak, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne bovina, bife, totalmente aparado, assado, grelhado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Beef, steak, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, canola oil","Carne bovina, bife, totalmente aparado, assado, grelhado, frito, grelhado ou na churrasqueira, óleo de canola"
"Beef, steak, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, olive oil","Carne bovina, bife, totalmente aparado, assado, torrado, frito, grelhado ou churrasco, azeite de oliva  "
"Beef, steak, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, other oil","Carne bovina, bife, totalmente aparado, assado, torrado, frito, grelhado ou churrasco, outro óleo  "
"Beef, steak, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne bovina, bife, totalmente aparado, assado, torrado, frito, grelhado ou churrasco, gordura não definida  "
"Beef, steak, fully-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, no added fat","Carne bovina, bife, totalmente aparado, cozido, ensopado, cozido no micro-ondas, escalfado, cozido no vapor ou guisado, sem gordura adicionada  "
"Beef, steak, fully-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, fat not further defined","Carne bovina, bife, totalmente aparado, cozido, ensopado, cozido no micro-ondas, escalfado, cozido no vapor ou guisado, gordura não definida"
"Beef, steak, fully-trimmed, coated, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne bovina, bife, totalmente aparado, empanado, assado, tostado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Beef, steak, fully-trimmed, coated, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne bovina, bife, totalmente aparado, empanado, assado, tostado, frito, grelhado ou na churrasqueira, gordura não definida  "
"Beef, steak, semi-trimmed, raw","Carne bovina, bife, semi-aparado, cru  "
"Beef, steak, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne bovina, bife, semi-aparado, assado, tostado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Beef, steak, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, canola oil","Carne bovina, bife, semi-aparado, assado, tostado, frito, grelhado ou na churrasqueira, óleo de canola"
"Beef, steak, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, olive oil","Carne bovina, bife, semi-desengordurado, assado, torrado, frito, grelhado ou na churrasqueira, azeite de oliva  "
"Beef, steak, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, other oil","Carne bovina, bife, semi-desengordurado, assado, torrado, frito, grelhado ou na churrasqueira, outro óleo  "
"Beef, steak, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne bovina, bife, semi-desengordurado, cozido, ensopado, no micro-ondas, escalfado, cozido no vapor ou guisado, com ou sem gordura adicionada  "
"Beef, steak, semi-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, with or without added fat","Carne bovina, bife, semi-desengordurado, empanado, assado, torrado, frito, grelhado ou na churrasqueira, com ou sem gordura adicionada"
"Beef, steak, semi-trimmed, coated, baked, roasted, fried, grilled or BBQ'd, with or without added fat","Carne bovina, bife, semi-desengordurado, empanado, assado, torrado, frito, grelhado ou na churrasqueira, com ou sem gordura adicionada  "
"Beef, steak, untrimmed","Carne bovina, bife, não desengordurado  "
"Beef, steak, untrimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne bovina, bife, não desengordurado, assado, torrado, frito, grelhado ou na churrasqueira, sem gordura adicionada  "
"Beef, steak, untrimmed, baked, roasted, fried, grilled or BBQ'd, olive oil","Carne bovina, bife, não desengordurado, assado, torrado, frito, grelhado ou na churrasqueira, azeite de oliva  "
"Beef, steak, untrimmed, baked, roasted, fried, grilled or BBQ'd, other oil","Carne bovina, bife, não desengordurado, assado, torrado, frito, grelhado ou na churrasqueira, outro óleo"
"Beef, steak, untrimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne bovina, bife, sem aparar, assado, torrado, frito, grelhado ou na churrasqueira, gordura não definida  "
"Beef, steak, untrimmed, coated, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne bovina, bife, sem aparar, empanado, assado, torrado, frito, grelhado ou na churrasqueira, gordura não definida  "
"Beef, steak, for use on sandwiches, not further defined","Carne bovina, bife, para uso em sanduíches, não definido  "
"Meatball or rissole, beef, commercial, cooked","Almôndega ou rissole, carne bovina, comercial, cozida  "
"Meatball or rissole, beef mince, <5% fat, homemade, raw","Almôndega ou rissole, carne bovina moída, <5% de gordura, caseira, crua"
"Meatball or rissole, beef mince, <5% fat, homemade, baked, roasted, fried, grilled or BBQ'd, no added fat",Alimentos:
"Meatball or rissole, beef mince, <5% fat, homemade, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Almôndega ou rissole, carne moída, <5% de gordura, caseira, assada, tostada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"Meatball or rissole, beef mince, ~5-10% fat, homemade, raw","Almôndega ou rissole, carne moída, <5% de gordura, caseira, assada, tostada, frita, grelhada ou na churrasqueira, gordura não definida  "
"Meatball or rissole, beef mince, >10% fat, homemade, raw","Almôndega ou rissole, carne moída, ~5-10% de gordura, caseira, crua  "
"Meatball or rissole, beef mince, homemade, raw","Almôndega ou rissole, carne moída, >10% de gordura, caseira, crua  "
"Meatball or rissole, beef mince, homemade, baked, roasted, fried, grilled or BBQ'd, no added fat","Almôndega ou rissole, carne moída, caseira, assada, tostada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"Meatball or rissole, beef mince, homemade, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Almôndega ou rissole, carne moída, caseira, assada, tostada, frita, grelhada ou na churrasqueira, gordura não definida  "
"Rissole or patty, beef mince, grilled or fried, no added fat, fast food style","Rissole ou hambúrguer, carne moída, grelhada ou frita, sem gordura adicionada, estilo fast food  "
"Lamb, all cuts, separable fat, raw","Carne de cordeiro, todos os cortes, gordura separável, crua  "
"Lamb, all cuts, separable fat, cooked","Carne de cordeiro, todos os cortes, gordura separável, cozida"
"Lamb, BBQ/grill/fry cuts, fully-trimmed, raw","Carne de cordeiro, cortes para churrasco/grelhar/fritar, totalmente desengordurados, cru  "
"Lamb, BBQ/grill/fry cuts, fully-trimmed, BBQ'd, grilled or fried, no added fat","Carne de cordeiro, cortes para churrasco/grelhar/fritar, totalmente desengordurados, assado, grelhado ou frito, sem gordura adicionada  "
"Lamb, BBQ/grill/fry cuts, semi-trimmed, raw","Carne de cordeiro, cortes para churrasco/grelhar/fritar, semi-desengordurados, cru  "
"Lamb, BBQ/grill/fry cuts, semi-trimmed, BBQ'd, grilled or fried, no added fat","Carne de cordeiro, cortes para churrasco/grelhar/fritar, semi-desengordurados, assado, grelhado ou frito, sem gordura adicionada  "
"Lamb, butterfly steak, separable lean, raw","Carne de cordeiro, bife borboleta, magro separável, cru"
"Lamb, butterfly steak, fully-trimmed, raw","Carne de cordeiro, bife borboleta, totalmente desossado, cru  "
"Lamb, butterfly steak, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, bife borboleta, totalmente desossado, assado, grelhado, frito, grelhado ou no churrasco, sem gordura adicionada  "
"Lamb, butterfly steak, fully-trimmed, boiled, casseroled, microwaved, poached, steamed, or stewed, no added fat","Carne de cordeiro, bife borboleta, totalmente desossado, cozido, em caçarola, no micro-ondas, escalfado, cozido no vapor ou ensopado, sem gordura adicionada  "
"Lamb, casserole cuts, fully-trimmed, raw","Carne de cordeiro, cortes para caçarola, totalmente desossados, crus  "
"Lamb, casserole cuts, fully-trimmed, boiled, casseroled, microwaved, poached, steamed, or stewed, no added fat","Carne de cordeiro, cortes para caçarola, totalmente desossados, cozidos, em caçarola, no micro-ondas, escalfados, cozidos no vapor ou ensopados, sem gordura adicionada"
"Lamb, casserole cuts, semi-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, no added fat","Carne de cordeiro, cortes para ensopado, semi-limpos, cozidos, ensopados, micro-ondas, escalfados, cozidos no vapor ou guisados, sem gordura adicionada  "
"Lamb, chop, fully-trimmed, raw, not further defined","Carne de cordeiro, costeleta, totalmente limpa, crua, não definida  "
"Lamb, chop, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, costeleta, totalmente limpa, assada, grelhada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"Lamb, chop, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, butter, dairy blend or margarine","Carne de cordeiro, costeleta, totalmente limpa, assada, grelhada, frita, grelhada ou na churrasqueira, manteiga, mistura láctea ou margarina  "
"Lamb, chop, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, canola oil","Carne de cordeiro, costeleta, totalmente limpa, assada, grelhada, frita, grelhada ou na churrasqueira, óleo de canola"
"Lamb, chop, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, olive oil","Carne de cordeiro, costeleta, totalmente aparada, assada, tostada, frita, grelhada ou na churrasqueira, azeite  "
"Lamb, chop, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, other oil","Carne de cordeiro, costeleta, totalmente aparada, assada, tostada, frita, grelhada ou na churrasqueira, outro óleo  "
"Lamb, chop, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne de cordeiro, costeleta, totalmente aparada, assada, tostada, frita, grelhada ou na churrasqueira, gordura não definida  "
"Lamb, chop, fully-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, no added fat","Carne de cordeiro, costeleta, totalmente aparada, cozida, ensopada, no micro-ondas, escalfada, cozida no vapor ou guisada, sem gordura adicionada  "
"Lamb, chop, fully-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, fat not further defined","Carne de cordeiro, costeleta, totalmente aparada, cozida, ensopada, no micro-ondas, escalfada, cozida no vapor ou guisada, gordura não definida"
"Lamb, chop, fully-trimmed, coated, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carneiro, costeleta, totalmente desengordurada, empanada, assada, grelhada ou na churrasqueira, gordura não definida  "
"Lamb, chop, semi-trimmed, raw, not further defined","Carneiro, costeleta, semi-desengordurada, crua, não definida  "
"Lamb, chop, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carneiro, costeleta, semi-desengordurada, assada, grelhada, frita ou na churrasqueira, sem gordura adicionada  "
"Lamb, chop, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, canola oil","Carneiro, costeleta, semi-desengordurada, assada, grelhada, frita ou na churrasqueira, óleo de canola  "
"Lamb, chop, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, olive oil","Carneiro, costeleta, semi-desengordurada, assada, grelhada, frita ou na churrasqueira, azeite de oliva"
"Lamb, chop, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, other oil","Carne de cordeiro, costeleta, semi-desengordurada, assada, tostada, frita, grelhada ou na churrasqueira, outro óleo  "
"Lamb, chop, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne de cordeiro, costeleta, semi-desengordurada, assada, tostada, frita, grelhada ou na churrasqueira, gordura não definida  "
"Lamb, chop, semi-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, no added fat","Carne de cordeiro, costeleta, semi-desengordurada, cozida, ensopada, no micro-ondas, escalfada, cozida no vapor ou guisada, sem gordura adicionada  "
"Lamb, chop, semi-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, fat not further defined","Carne de cordeiro, costeleta, semi-desengordurada, cozida, ensopada, no micro-ondas, escalfada, cozida no vapor ou guisada, gordura não definida  "
"Lamb, chop, semi-trimmed, coated, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne de cordeiro, costeleta, semi-desengordurada, empanada, assada, tostada, frita, grelhada ou na churrasqueira, gordura não definida"
"Lamb, chop, untrimmed, raw, not further defined","Carne de cordeiro, costeleta, sem aparar, crua, não definida"
"Lamb, chop, untrimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, costeleta, sem aparar, assada, grelhada, frita, grelhada ou na churrasqueira, sem gordura adicionada"
"Lamb, chop, untrimmed, baked, roasted, fried, grilled or BBQ'd, canola oil","Carne de cordeiro, costeleta, sem aparar, assada, grelhada, frita, grelhada ou na churrasqueira, óleo de canola"
"Lamb, chop, untrimmed, baked, roasted, fried, grilled or BBQ'd, olive oil","Carne de cordeiro, costeleta, sem aparar, assada, grelhada, frita, grelhada ou na churrasqueira, azeite de oliva"
"Lamb, chop, untrimmed, baked, roasted, fried, grilled or BBQ'd, other oil","Carne de cordeiro, costeleta, sem aparar, assada, grelhada, frita, grelhada ou na churrasqueira, outro óleo"
"Lamb, chop, untrimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carneiro, costeleta, sem aparar, assada, assada, frita, grelhada ou na churrasqueira, gordura não definida  "
"Lamb, chop, untrimmed, coated, baked, roasted, fried, grilled or BBQ'd, with or without added fat","Carneiro, costeleta, sem aparar, empanada, assada, assada, frita, grelhada ou na churrasqueira, com ou sem gordura adicionada  "
"Lamb, chump chop, separable lean, raw","Carneiro, costeleta de traseiro, magra separável, crua  "
"Lamb, chump chop, separable lean, grilled or BBQ'd, no added fat","Carneiro, costeleta de traseiro, magra separável, grelhada ou na churrasqueira, sem gordura adicionada  "
"Lamb, chump chop, fully-trimmed, raw","Carneiro, costeleta de traseiro, totalmente aparada, crua"
"Lamb, chump chop, semi-trimmed, raw","Carne de cordeiro, costeleta de perna, semi-desengordurada, crua  "
"Lamb, chump chop, untrimmed, raw","Carne de cordeiro, costeleta de perna, não desengordurada, crua  "
"Lamb, chump chop, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, costeleta de perna, totalmente desengordurada, assada, grelhada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"Lamb, chump chop, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, costeleta de perna, semi-desengordurada, assada, grelhada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"Lamb, chump chop, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne de cordeiro, costeleta de perna, semi-desengordurada, assada, grelhada, frita, grelhada ou na churrasqueira, gordura não definida"
"Lamb, chump chop, untrimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, costeleta de perna, sem aparar, assada, tostada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"Lamb, chump chop, untrimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne de cordeiro, costeleta de perna, sem aparar, assada, tostada, frita, grelhada ou na churrasqueira, gordura não definida  "
"Lamb, diced, separable lean, raw","Carne de cordeiro, em cubos, magra separável, crua  "
"Lamb, diced, separable lean, fried or stir-fried, no added fat","Carne de cordeiro, em cubos, magra separável, frita ou refogada, sem gordura adicionada  "
"Lamb, diced, fully-trimmed, raw","Carne de cordeiro, em cubos, totalmente aparada, crua"
"Lamb, diced, fully-trimmed, baked, roasted, fried, stir-fried, grilled or BBQ'd, no added fat","Carne de cordeiro, em cubos, totalmente desengordurada, assada, grelhada, frita, refogada, grelhada ou na churrasqueira, sem gordura adicionada  "
"Lamb, diced, fully-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, no added fat","Carne de cordeiro, em cubos, totalmente desengordurada, cozida, em ensopado, no micro-ondas, escalfada, cozida no vapor ou guisada, sem gordura adicionada  "
"Lamb, diced, fully-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, fat not further defined","Carne de cordeiro, em cubos, totalmente desengordurada, cozida, em ensopado, no micro-ondas, escalfada, cozida no vapor ou guisada, gordura não definida  "
"Lamb, diced, untrimmed, raw","Carne de cordeiro, em cubos, sem desengordurar, crua  "
"Lamb, diced, untrimmed, baked, roasted, fried or stir-fried, grilled or BBQ'd, no added fat","Carne de cordeiro, em cubos, sem desengordurar, assada, grelhada, frita ou refogada, grelhada ou na churrasqueira, sem gordura adicionada"
"Lamb, drumstick, separable lean, raw","Carne de cordeiro, coxa, magra separável, crua  "
"Lamb, drumstick, separable lean, grilled or BBQ'd, no added fat","Carne de cordeiro, coxa, magra separável, grelhada ou assada na churrasqueira, sem gordura adicionada  "
"Lamb, drumstick, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, coxa, totalmente desossada, assada, tostada, frita, grelhada ou assada na churrasqueira, sem gordura adicionada  "
"Lamb, drumstick, untrimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, coxa, sem desossa, assada, tostada, frita, grelhada ou assada na churrasqueira, sem gordura adicionada  "
"Lamb, easy carve leg roast, separable lean, raw","Carne de cordeiro, perna assada fácil de cortar, magra separável, crua"
"Lamb, easy carve leg roast, separable lean, baked or roasted, no added fat","Carne de cordeiro, perna assada fácil de cortar, magra separável, assada ou grelhada, sem gordura adicionada  "
"Lamb, easy carve leg roast, fully-trimmed, raw","Carne de cordeiro, perna assada fácil de cortar, totalmente desossada, crua  "
"Lamb, easy carve leg roast, fully-trimmed, baked or roasted, no added fat","Carne de cordeiro, perna assada fácil de cortar, totalmente desossada, assada ou grelhada, sem gordura adicionada  "
"Lamb, easy carve leg roast, semi-trimmed, raw","Carne de cordeiro, perna assada fácil de cortar, semi-desossada, crua  "
"Lamb, easy carve leg roast, semi-trimmed, baked or roasted, no added fat","Carne de cordeiro, perna assada fácil de cortar, semi-desossada, assada ou grelhada, sem gordura adicionada"
"Lamb, easy carve leg roast, untrimmed, raw","Carneiro, perna assada fácil de cortar, sem aparar, crua  "
"Lamb, easy carve leg roast, untrimmed, baked or roasted, no added fat","Carneiro, perna assada fácil de cortar, sem aparar, assada ou grelhada, sem gordura adicionada  "
"Lamb, easy carve shoulder, separable lean, raw","Carneiro, ombro fácil de cortar, magro separável, cru  "
"Lamb, easy carve shoulder, separable lean, baked or roasted, no added fat","Carneiro, ombro fácil de cortar, magro separável, assado ou grelhado, sem gordura adicionada  "
"Lamb, easy carve shoulder, fully-trimmed, raw","Carneiro, ombro fácil de cortar, totalmente aparado, cru"
"Lamb, easy carve shoulder, fully-trimmed, baked or roasted, no added fat","Carne de cordeiro, ombro fácil de cortar, totalmente desengordurado, assado ou grelhado, sem gordura adicionada  "
"Lamb, easy carve shoulder, semi-trimmed, raw","Carne de cordeiro, ombro fácil de cortar, semi-desengordurado, cru  "
"Lamb, easy carve shoulder, semi-trimmed, baked or roasted, no added fat","Carne de cordeiro, ombro fácil de cortar, semi-desengordurado, assado ou grelhado, sem gordura adicionada  "
"Lamb, easy carve shoulder, semi-trimmed, breadcrumb coating, baked or roasted, no added fat","Carne de cordeiro, ombro fácil de cortar, semi-desengordurado, empanado, assado ou grelhado, sem gordura adicionada  "
"Lamb, easy carve shoulder, untrimmed, raw","Carne de cordeiro, ombro fácil de cortar, sem desengordurar, cru"
"Lamb, easy carve shoulder, untrimmed, baked or roasted, no added fat","Carneiro, paleta fácil de cortar, sem aparar, assada ou grelhada, sem gordura adicionada  "
"Lamb, eye of loin, separable lean, raw","Carneiro, olho do lombo, magro separável, cru  "
"Lamb, eye of loin, separable lean, grilled or BBQ'd, no added fat","Carneiro, olho do lombo, magro separável, grelhado ou na churrasqueira, sem gordura adicionada  "
"Lamb, fillet or tenderloin, fully-trimmed, raw","Carneiro, filé ou lombo, totalmente aparado, cru  "
"Lamb, fillet or tenderloin, fully-trimmed, baked, roasted, fried, stir-fried, grilled or BBQ'd, no added fat","Carneiro, filé ou lombo, totalmente aparado, assado, grelhado, frito, refogado, grelhado ou na churrasqueira, sem gordura adicionada"
"Lamb, fillet or tenderloin, fully-trimmed, baked, roasted, fried, stir-fried, grilled or BBQ'd, fat not further defined","Carne de cordeiro, filé ou filé mignon, totalmente desossado, assado, grelhado, frito, salteado, grelhado ou na churrasqueira, gordura não definida  "
"Lamb, forequarter (easy carve shoulder, forequarter chop), separable fat, raw","Carne de cordeiro, dianteiro (ombro fácil de cortar, costeleta dianteira), gordura separável, crua  "
"Lamb, forequarter (easy carve shoulder, forequarter chop), separable fat, grilled or BBQ'd, no added fat","Carne de cordeiro, dianteiro (ombro fácil de cortar, costeleta dianteira), gordura separável, grelhado ou na churrasqueira, sem gordura adicionada  "
"Lamb, forequarter chop, separable lean, raw","Costeleta dianteira de cordeiro, magra separável, crua  "
"Lamb, forequarter chop, separable lean, grilled or BBQ'd, no added fat","Costeleta dianteira de cordeiro, magra separável, grelhada ou na churrasqueira, sem gordura adicionada"
"Lamb, forequarter chop, fully-trimmed, raw","Carne de cordeiro, costeleta da dianteira, totalmente desossada, crua  "
"Lamb, forequarter chop, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, costeleta da dianteira, totalmente desossada, assada, grelhada, frita ou na churrasqueira, sem gordura adicionada  "
"Lamb, forequarter chop, semi-trimmed, raw","Carne de cordeiro, costeleta da dianteira, semi-desossada, crua  "
"Lamb, forequarter chop, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, costeleta da dianteira, semi-desossada, assada, grelhada, frita ou na churrasqueira, sem gordura adicionada  "
"Lamb, forequarter chop, semi-trimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne de cordeiro, costeleta da dianteira, semi-desossada, assada, grelhada, frita ou na churrasqueira, gordura não definida"
"Lamb, forequarter chop, semi-trimmed, boiled, casseroled, microwaved, poached, steamed or stewed, with or without added fat","Carne de cordeiro, costeleta da parte dianteira, semi-desengordurada, cozida, assada, no micro-ondas, escalfada, cozida no vapor ou ensopada, com ou sem gordura adicionada  "
"Lamb, forequarter chop, untrimmed, raw","Carne de cordeiro, costeleta da parte dianteira, sem desengordurar, crua  "
"Lamb, forequarter chop, untrimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, costeleta da parte dianteira, sem desengordurar, assada, grelhada, frita, grelhada ou na churrasqueira, sem gordura adicionada  "
"Lamb, forequarter chop, untrimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne de cordeiro, costeleta da parte dianteira, sem desengordurar, assada, grelhada, frita, grelhada ou na churrasqueira, gordura não definida  "
"Lamb, frenched cutlet/rack, separable lean, raw","Carne de cordeiro, costeleta francesa/assado, magra separável, crua"
"Lamb, frenched cutlet/rack, separable lean, grilled or BBQ'd, no added fat","Carne de cordeiro, costeleta/rack francês, magra separável, grelhada ou assada na churrasqueira, sem gordura adicionada  "
"Lamb, frenched cutlet/rack, fully-trimmed, raw","Carne de cordeiro, costeleta/rack francês, totalmente aparada, crua  "
"Lamb, frenched cutlet/rack, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Carne de cordeiro, costeleta/rack francês, totalmente aparada, assada, assada no forno, frita, grelhada ou assada na churrasqueira, sem gordura adicionada  "
"Lamb, frenched cutlet/rack, fully-trimmed, baked, roasted, fried, grilled or BBQ'd, fat not further defined","Carne de cordeiro, costeleta/rack francês, totalmente aparada, assada, assada no forno, frita, grelhada ou assada na churrasqueira, gordura não definida  "
